car_name,category,price,miles,car_type,link,exterior_color,seller_type,ref_price,ref_miles,dealer_name,dealer_street,dealer_city,dealer_state,dealer_country,dealer_zip,dealer_phone,dealer_website,year,make,model,trim,vehicle_type,transmission,drivetrain,fuel_type,engine,engine_size,engine_block,doors,cylinders,antibrake_sys,tank_size,seats,free_miles,city_miles,photo_links
2013 Tesla Model S Performance,green,42994,64239,used,http://www.uiautos.com/2013-Tesla-ModelS/Used-Car/Roswell-GA/10585526/Details.aspx,Gray,dealer,65999,6903,Used Imports Auto,442 South Atlanta Street,Roswell,GA,US,30075,866-535-1713,www.uiautos.com,2013,Tesla,Model S,Base,Car,Direct Drive,Rear Wheel Drive,Electric,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,97,94 miles/gallon,http://imagescdn.dealercarsearch.com/Media/6030/10585526/636532997588812921.jpg
Used 2016 Tesla Model S 4dr Sdn AWD P90D,green,116991,1342,used,http://www.tustingmc.com/VehicleDetails/used-2016-Tesla-Model_S-4dr_Sdn_AWD_P90D-Tustin-CA/3059264163,Gray,dealer,117991,1342,Tustin Buick GMC,1 Auto Center Drive,Tustin,CA,US,92782,888-834-9492,www.tustingmc.com,2016,Tesla,Model S,P100D,Car,,,,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,106,95 miles/gallon,http://inventory-dmg.assets-cdk.com/2/6/2/15397687262.jpg
2016 Tesla Model S 90D Sedan 3-Phase/4-Pole Electric,green,71900,26082,used,https://www.northgatefordcincinnati.com/used/Tesla/2016-Tesla-Model+S-cincinnati-oh-a768db2e0a0e0ae92b8efe79a450907e.htm,Deep Blue Metallic,dealer,71900,26082,Northgate Ford,8810 Colerain Avenue,Cincinnati,OH,US,45251,513-385-1818,www.northgatefordcincinnati.net,2016,Tesla,Model S,70D,Car,,,,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,102,101 miles/gallon,https://pictures.dealer.com/k/kingscdjcllc/1420/6a4c61d04b8b465f2c4be1f28fd99bc7x.jpg?impolicy=resize&w=650
2014 Tesla Model S 85 kWh Battery 4dr Sdn,green,48981,37938,used,https://www.lonestarchevrolet.com/used/Tesla/2014-Tesla-Model+S-c01b785f0a0e0adf1c5b671ef0a42f7c.htm,White,dealer,48981,37938,Lone Star Chevrolet,18900 Northwest Freeway,Houston,TX,US,77065,281-517-7000,www.lonestarchevrolet.com,2014,Tesla,Model S,85,Car,Direct Drive,Rear Wheel Drive,Electric,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,97,88 - 94 miles/gallon,https://images.dealer.com/evox/color_0640_001/10447/10447_cc0640_001_CAT.jpg?impolicy=resize&w=650
Used 2017 Tesla Model S 75 RWD,green,75995,3000,used,http://www.wmlmorris.com/VehicleDetails/used-2017-Tesla-Model_S-75_RWD-Fillmore-CA/3164187663,,dealer,,,Wm L. Morris,1024 West Ventura Street,Fillmore,CA,US,93015,888-309-8864,www.wmlmorris.com,2017,Tesla,Model S,75,Car,Direct Drive,Rear Wheel Drive,Electric,,n/a,n/a,4,no cylinders,,no tank,,90,,http://inventory-dmg.assets-cdk.com/2/9/1/16436733192.jpg
2015 Tesla Model S P85D,green,79991,35555,used,https://bramanporsche.com/inventory/used/Tesla+Model+S+P85D+West+Palm+Beach+Florida+2015+Titanium+Metallic+1734221,Titanium Metallic,dealer,79991,35555,Braman Motorcars,2801 Okeechobee Boulevard,West Palm Beach,FL,US,33409,561-615-4800,bramanporsche.com,2015,Tesla,Model S,P85D,Car,,,,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,97,94 miles/gallon,
2012 Tesla Model S,green,46790,31314,used,https://www.flemingtonporsche.com/used-Flemington-2012-Tesla-Model+S-Base-5YJSA1CN9CFP02276,Sequoia Green Metallic,dealer,46790,31314,Flemington Porsche,213 U.S. 202,Flemington,NJ,US,8822,908-782-2400,www.flemingtonporsche.com,2012,Tesla,Model S,Base,Car,Direct Drive,Rear Wheel Drive,Electric,ELECTRIC,n/a,n/a,4,no cylinders,,no tank,,90,88 miles/gallon,https://www.flemingtonporsche.com/assets/inventory/vehicles/5yjsa1cn9cfp02276/ip/1.jpg
2014 Tesla Model S Performance,green,,39407,used,http://veteransfordtampa.com/used-tesla-model-s-performance-2014-tampa-fl-00cj114a,Blue,dealer,,39407,Veterans Ford,7201 West Linebaugh Avenue,Tampa,FL,US,33625,800-832-5354,veteransfordtampa.com,2014,Tesla,Model S,85,Car,Direct Drive,Rear Wheel Drive,Electric,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,97,88 - 94 miles/gallon,
Pre Owned 2013 Tesla Model S 4dr Sdn Performance,green,47988,67973,used,http://www.mcgrathlex.com/VehicleDetails/used-2013-Tesla-Model_S-4dr_Sdn_Performance-Westmont-IL/3165815943,Red,dealer,47988,67973,Mcgrath Lexus Of Westmont,500 East Ogden Avenue,Westmont,IL,US,60559,(800) 773-3163,www.mcgrathlex.com,2013,Tesla,Model S,Performance,Car,Direct Drive,Rear Wheel Drive,Electric,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,90,88 miles/gallon,https://inventory-dmg.assets-cdk.com/chrome_jpgs/2013/15253.jpg
2014 Tesla Model S 85 kWh Battery Sedan,green,53703,43417,used,https://www.conicellihyundai.com/used/Tesla/2014-Tesla-Model+S-1775d6de0a0e0a6b40de81f5045961eb.htm,Black,dealer,53703,43417,Conicelli Hyundai,"West, 1208 Ridge Pike",Conshohocken,PA,US,19428,610-832-7911,www.conicellihyundai.com,2014,Tesla,Model S,85,Car,Direct Drive,Rear Wheel Drive,Electric,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,97,88 - 94 miles/gallon,https://pictures.dealer.com/c/conicellitoyotapreowned/1413/baed89b88896922b5d357e263238954cx.jpg?impolicy=resize&w=650
2013 Tesla Model S Performance,commuter,42994,64239,used,http://www.uiautos.com/2013-Tesla-ModelS/Used-Car/Roswell-GA/10585526/Details.aspx,Gray,dealer,65999,6903,Used Imports Auto,442 South Atlanta Street,Roswell,GA,US,30075,866-535-1713,www.uiautos.com,2013,Tesla,Model S,Base,Car,Direct Drive,Rear Wheel Drive,Electric,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,97,94 miles/gallon,http://imagescdn.dealercarsearch.com/Media/6030/10585526/636532997588812921.jpg
Used 2016 Tesla Model S 4dr Sdn AWD P90D,commuter,116991,1342,used,http://www.tustingmc.com/VehicleDetails/used-2016-Tesla-Model_S-4dr_Sdn_AWD_P90D-Tustin-CA/3059264163,Gray,dealer,117991,1342,Tustin Buick GMC,1 Auto Center Drive,Tustin,CA,US,92782,888-834-9492,www.tustingmc.com,2016,Tesla,Model S,P100D,Car,,,,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,106,95 miles/gallon,http://inventory-dmg.assets-cdk.com/2/6/2/15397687262.jpg
2016 Tesla Model S 90D Sedan 3-Phase/4-Pole Electric,commuter,71900,26082,used,https://www.northgatefordcincinnati.com/used/Tesla/2016-Tesla-Model+S-cincinnati-oh-a768db2e0a0e0ae92b8efe79a450907e.htm,Deep Blue Metallic,dealer,71900,26082,Northgate Ford,8810 Colerain Avenue,Cincinnati,OH,US,45251,513-385-1818,www.northgatefordcincinnati.net,2016,Tesla,Model S,70D,Car,,,,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,102,101 miles/gallon,https://pictures.dealer.com/k/kingscdjcllc/1420/6a4c61d04b8b465f2c4be1f28fd99bc7x.jpg?impolicy=resize&w=650
2014 Tesla Model S 85 kWh Battery 4dr Sdn,commuter,48981,37938,used,https://www.lonestarchevrolet.com/used/Tesla/2014-Tesla-Model+S-c01b785f0a0e0adf1c5b671ef0a42f7c.htm,White,dealer,48981,37938,Lone Star Chevrolet,18900 Northwest Freeway,Houston,TX,US,77065,281-517-7000,www.lonestarchevrolet.com,2014,Tesla,Model S,85,Car,Direct Drive,Rear Wheel Drive,Electric,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,97,88 - 94 miles/gallon,https://images.dealer.com/evox/color_0640_001/10447/10447_cc0640_001_CAT.jpg?impolicy=resize&w=650
Used 2017 Tesla Model S 75 RWD,commuter,75995,3000,used,http://www.wmlmorris.com/VehicleDetails/used-2017-Tesla-Model_S-75_RWD-Fillmore-CA/3164187663,,dealer,,,Wm L. Morris,1024 West Ventura Street,Fillmore,CA,US,93015,888-309-8864,www.wmlmorris.com,2017,Tesla,Model S,75,Car,Direct Drive,Rear Wheel Drive,Electric,,n/a,n/a,4,no cylinders,,no tank,,90,,http://inventory-dmg.assets-cdk.com/2/9/1/16436733192.jpg
